cities,coord
"Atlanta, GA","(33.7490987, -84.3901849)"
"Kansas City, MO","(39.100105, -94.5781416)"
"Miami, FL","(25.7742658, -80.1936589)"
"Raleigh, NC","(35.7803977, -78.6390989)"
"Omaha, NE","(41.2587459, -95.9383758)"
"Long Beach, CA","(47.9960267, -53.8155345)"
"Minneapolis, MN","(44.9772995, -93.2654692)"
"Tulsa, OK","(36.1556805, -95.9929113)"
"Bakersfield, CA","(35.3738712, -119.0194639)"
"New Orleans, LA","(29.9499323, -90.0701156)"
"Wichita, TX","(33.9516534, -98.7088886)"
"Cleveland, OH","(41.5051613, -81.6934446)"
"Lexington, KY","(38.0464066, -84.4970393)"
"Corpus Christi, TX","(27.7477253, -97.4014129)"
"Stockton, CA","(49.583333, -99.45)"
"Cincinnati, OH","(39.1014537, -84.5124602)"
"Greensboro, NC","(36.0726355, -79.7919754)"
"Pittsburgh, PA","(40.4416941, -79.9900861)"
"Orlando, FL","(28.5421109, -81.3790304)"
"Newark, NJ","(40.735657, -74.1723667)"
"Durham, NC","(35.996653, -78.9018053)"
"Fort Wayne, IN","(41.0799898, -85.1386015)"
"Toledo, OH","(41.6786754, -83.5127283)"
"Madison, AL","(34.7736807, -86.5675095)"
"Lubbock, TX","(33.5635206, -101.879336)"
"Buffalo, NY","(42.8867166, -78.8783922)"
"Norfolk, VA","(36.8462923, -76.2929252)"
"Boise, ID","(43.6166163, -116.200886)"
"Richmond, VA","(37.5385087, -77.43428)"
"Tacoma, WA","(47.2495798, -122.4398746)"
"Des Moines, IA","(41.5910641, -93.6037149)"
"Salt Lake City, UT","(40.7596198, -111.8867975)"
"Grand Rapids, MI","(42.9632405, -85.6678639)"
"Rochester, MN","(44.0234387, -92.4630182)"
"Huntsville, AL","(34.729847, -86.5859011)"
"Amarillo, TX","(35.2072185, -101.8338246)"
"Tallahassee, FL","(30.4380832, -84.2809332)"
"Akron, OH","(41.083064, -81.518485)"
"Montgomery, AL","(32.3669656, -86.3006485)"
"Augusta, GA","(33.4709714, -81.9748429)"
"Knoxville, TN","(35.9603948, -83.9210261)"
"Sioux Falls, SD","(43.5499749, -96.700327)"
"Mobile, AL","(30.6943566, -88.0430541)"
"Chattanooga, TN","(35.0457219, -85.3094883)"
"Shreveport, LA","(32.5221828, -93.7651944)"
"Brownsville, TX","(25.9140256, -97.4890856)"
"Peoria, IL","(40.6938609, -89.5891008)"
"Salem, OR","(44.9391565, -123.033121)"
"Providence, RI","(41.8239891, -71.4128343)"
"Eugene, OR","(44.0505054, -123.0950506)"
"Savannah, GA","(32.0809263, -81.0911768)"
"Rockford, IL","(42.2713945, -89.093966)"
"Midland, TX","(31.9973662, -102.0779482)"
"Waco, TX","(31.549333, -97.1466695)"
"Bridgeport, CT","(41.1670412, -73.2048348)"
"Albany, NY","(42.6511674, -73.754968)"
